n,side,contrib
64,7.550000000000001,0.8906640625000002
65,7.84,0.9456246153846153
66,7.84,0.9312969696969696
67,7.84,0.9173970149253731
68,7.84,0.9039058823529411
69,7.84,0.8908057971014492
70,7.84,0.87808
71,7.84,0.865712676056338
72,7.84,0.8536888888888888
73,8.4,0.9665753424657535
74,8.4,0.9535135135135135
75,8.4,0.9408000000000001
76,8.4,0.9284210526315789
77,8.4,0.9163636363636364
78,8.4,0.9046153846153846
79,8.4,0.8931645569620253
80,8.4,0.882
81,8.4,0.8711111111111112
82,8.69,0.9209280487804877
83,8.69,0.9098325301204818
84,8.69,0.8990011904761904
85,8.69,0.8884247058823529
86,8.69,0.8780941860465116
87,8.69,0.8680011494252873
88,8.69,0.8581374999999999
89,8.69,0.8484955056179775
90,8.69,0.8390677777777777
91,8.69,0.8298472527472527
92,9.25,0.9300271739130435
93,9.25,0.9200268817204301
94,9.25,0.9102393617021277
95,9.25,0.9006578947368421
96,9.25,0.8912760416666666
97,9.25,0.8820876288659794
98,9.25,0.8730867346938775
99,9.25,0.8642676767676768
100,9.25,0.855625
101,9.54,0.9011049504950494
102,9.54,0.892270588235294
103,9.54,0.8836077669902911
104,9.54,0.8751115384615383
105,9.54,0.8667771428571427
106,9.54,0.8585999999999999
107,9.54,0.8505757009345793
108,9.54,0.8426999999999999
109,9.54,0.8349688073394494
110,9.54,0.8273781818181817
111,10.1,0.919009009009009
112,10.1,0.9108035714285714
113,10.1,0.9027433628318583
114,10.1,0.8948245614035087
115,10.1,0.8870434782608695
116,10.1,0.8793965517241379
117,10.1,0.8718803418803418
118,10.1,0.8644915254237288
119,10.1,0.8572268907563024
120,10.1,0.8500833333333333
121,10.1,0.8430578512396694
122,10.389999999999999,0.8848532786885244
123,10.389999999999999,0.8776593495934957
124,10.389999999999999,0.870581451612903
125,10.389999999999999,0.8636167999999997
126,10.389999999999999,0.8567626984126983
127,10.389999999999999,0.8500165354330707
128,10.389999999999999,0.8433757812499998
129,10.389999999999999,0.8368379844961238
130,10.389999999999999,0.830400769230769
131,10.389999999999999,0.8240618320610685
132,10.389999999999999,0.8178189393939392
133,10.389999999999999,0.8116699248120298
134,10.95,0.894794776119403
135,10.95,0.8881666666666665
136,10.95,0.8816360294117647
137,10.95,0.8752007299270073
138,10.95,0.8688586956521739
139,10.95,0.8626079136690646
140,10.95,0.8564464285714285
141,10.95,0.8503723404255319
142,10.95,0.8443838028169013
143,10.95,0.8384790209790209
144,10.95,0.8326562499999999
145,11.239999999999998,0.871293793103448
146,11.239999999999998,0.8653260273972601
147,11.239999999999998,0.8594394557823127
148,11.239999999999998,0.8536324324324323
149,11.239999999999998,0.8479033557046978
150,11.239999999999998,0.8422506666666665
151,11.239999999999998,0.836672847682119
152,11.239999999999998,0.8311684210526313
153,11.239999999999998,0.8257359477124181
154,11.239999999999998,0.8203740259740258
155,11.239999999999998,0.8150812903225805
156,11.239999999999998,0.8098564102564101
157,11.799999999999999,0.8868789808917196
158,11.799999999999999,0.88126582278481
159,11.799999999999999,0.8757232704402514
160,11.799999999999999,0.8702499999999999
161,11.799999999999999,0.8648447204968943
162,11.799999999999999,0.859506172839506
163,11.799999999999999,0.8542331288343558
164,11.799999999999999,0.8490243902439023
165,11.799999999999999,0.8438787878787878
166,11.799999999999999,0.8387951807228915
167,11.799999999999999,0.8337724550898202
168,11.799999999999999,0.8288095238095237
169,11.799999999999999,0.8239053254437869
170,12.089999999999998,0.8598123529411762
171,12.089999999999998,0.8547842105263155
172,12.089999999999998,0.8498145348837206
173,12.089999999999998,0.844902312138728
174,12.089999999999998,0.8400465517241377
175,12.089999999999998,0.8352462857142855
176,12.089999999999998,0.8305005681818179
177,12.089999999999998,0.8258084745762709
178,12.089999999999998,0.8211691011235952
179,12.089999999999998,0.8165815642458097
180,12.089999999999998,0.8120449999999997
181,12.089999999999998,0.8075585635359114
182,12.089999999999998,0.8031214285714283
183,12.089999999999998,0.7987327868852456
184,12.649999999999999,0.8696874999999997
185,12.649999999999999,0.8649864864864862
186,12.649999999999999,0.8603360215053761
187,12.649999999999999,0.8557352941176468
188,12.649999999999999,0.8511835106382976
189,12.649999999999999,0.8466798941798939
190,12.649999999999999,0.8422236842105261
191,12.649999999999999,0.8378141361256541
192,12.649999999999999,0.833450520833333
193,12.649999999999999,0.8291321243523313
194,12.649999999999999,0.8248582474226802
195,12.649999999999999,0.8206282051282049
196,12.649999999999999,0.816441326530612
197,12.94,0.8499675126903552
198,12.94,0.8456747474747474
199,12.94,0.8414251256281405
200,12.94,0.8372179999999999
